"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at","Unnamed: 20"
"* createproxydll.sh*",".{0,1000}\screateproxydll\.sh.{0,1000}","offensive_tool_keyword","nimproxydll","A Docker container for byt3bl33d3r/NimDllSideload - DLL sideloading/proxying","T1574.002","TA0005","N/A","N/A","Defense Evasion","https://github.com/cyllective/nimproxydll","1","0","N/A","9","1","11","0","2024-03-22T10:29:56Z","2024-03-15T15:15:45Z",""
"*/createproxydll.sh*",".{0,1000}\/createproxydll\.sh.{0,1000}","offensive_tool_keyword","nimproxydll","A Docker container for byt3bl33d3r/NimDllSideload - DLL sideloading/proxying","T1574.002","TA0005","N/A","N/A","Defense Evasion","https://github.com/cyllective/nimproxydll","1","1","N/A","9","1","11","0","2024-03-22T10:29:56Z","2024-03-15T15:15:45Z",""
"*/nimproxydll.git*",".{0,1000}\/nimproxydll\.git.{0,1000}","offensive_tool_keyword","nimproxydll","A Docker container for byt3bl33d3r/NimDllSideload - DLL sideloading/proxying","T1574.002","TA0005","N/A","N/A","Defense Evasion","https://github.com/cyllective/nimproxydll","1","1","N/A","9","1","11","0","2024-03-22T10:29:56Z","2024-03-15T15:15:45Z",""
"*/nimproxydll/*",".{0,1000}\/nimproxydll\/.{0,1000}","offensive_tool_keyword","nimproxydll","A Docker container for byt3bl33d3r/NimDllSideload - DLL sideloading/proxying","T1574.002","TA0005","N/A","N/A","Defense Evasion","https://github.com/cyllective/nimproxydll","1","1","N/A","9","1","11","0","2024-03-22T10:29:56Z","2024-03-15T15:15:45Z",""
"*\nimproxydll\*",".{0,1000}\\nimproxydll\\.{0,1000}","offensive_tool_keyword","nimproxydll","A Docker container for byt3bl33d3r/NimDllSideload - DLL sideloading/proxying","T1574.002","TA0005","N/A","N/A","Defense Evasion","https://github.com/cyllective/nimproxydll","1","0","N/A","9","1","11","0","2024-03-22T10:29:56Z","2024-03-15T15:15:45Z",""
"*\nimproxydll-main\*",".{0,1000}\\nimproxydll\-main\\.{0,1000}","offensive_tool_keyword","nimproxydll","A Docker container for byt3bl33d3r/NimDllSideload - DLL sideloading/proxying","T1574.002","TA0005","N/A","N/A","Defense Evasion","https://github.com/cyllective/nimproxydll","1","0","N/A","9","1","11","0","2024-03-22T10:29:56Z","2024-03-15T15:15:45Z",""
"*17257046150e6cbdc59be7873210cc6e0399ba51a5da24114f3c147bdc4fdb4c*",".{0,1000}17257046150e6cbdc59be7873210cc6e0399ba51a5da24114f3c147bdc4fdb4c.{0,1000}","offensive_tool_keyword","nimproxydll","A Docker container for byt3bl33d3r/NimDllSideload - DLL sideloading/proxying","T1574.002","TA0005","N/A","N/A","Defense Evasion","https://github.com/cyllective/nimproxydll","1","0","N/A","9","1","11","0","2024-03-22T10:29:56Z","2024-03-15T15:15:45Z",""
"*ab1b755120b2d5fb3db73f363a0b44881bc8b5e9699e27b804c9806b78de3a1b*",".{0,1000}ab1b755120b2d5fb3db73f363a0b44881bc8b5e9699e27b804c9806b78de3a1b.{0,1000}","offensive_tool_keyword","nimproxydll","A Docker container for byt3bl33d3r/NimDllSideload - DLL sideloading/proxying","T1574.002","TA0005","N/A","N/A","Defense Evasion","https://github.com/cyllective/nimproxydll","1","0","N/A","9","1","11","0","2024-03-22T10:29:56Z","2024-03-15T15:15:45Z",""
"*app/dllproxy.nim*",".{0,1000}app\/dllproxy\.nim.{0,1000}","offensive_tool_keyword","nimproxydll","A Docker container for byt3bl33d3r/NimDllSideload - DLL sideloading/proxying","T1574.002","TA0005","N/A","N/A","Defense Evasion","https://github.com/cyllective/nimproxydll","1","0","N/A","9","1","11","0","2024-03-22T10:29:56Z","2024-03-15T15:15:45Z",""
"*cyllective/nimproxydll*",".{0,1000}cyllective\/nimproxydll.{0,1000}","offensive_tool_keyword","nimproxydll","A Docker container for byt3bl33d3r/NimDllSideload - DLL sideloading/proxying","T1574.002","TA0005","N/A","N/A","Defense Evasion","https://github.com/cyllective/nimproxydll","1","1","N/A","9","1","11","0","2024-03-22T10:29:56Z","2024-03-15T15:15:45Z",""
"*make image && make proxydll*",".{0,1000}make\simage\s\&\&\smake\sproxydll.{0,1000}","offensive_tool_keyword","nimproxydll","A Docker container for byt3bl33d3r/NimDllSideload - DLL sideloading/proxying","T1574.002","TA0005","N/A","N/A","Defense Evasion","https://github.com/cyllective/nimproxydll","1","0","N/A","9","1","11","0","2024-03-22T10:29:56Z","2024-03-15T15:15:45Z",""
