"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*wget -O - -q http://*.jpg|sh*",".{0,1000}wget\s\-O\s\-\s\-q\shttp\:\/\/.{0,1000}\.jpg\|sh.{0,1000}","greyware_tool_keyword","wget","potential malicious command with wget (|sh)","T1566","TA0005 - TA0002","N/A","N/A","Defense Evasion","https://x.com/CraigHRowland/status/1782938242108837896","1","0","N/A","risk of false positive","9","10","N/A","N/A","N/A","N/A"
"*wget -O - -q https://*.jpg|sh*",".{0,1000}wget\s\-O\s\-\s\-q\shttps\:\/\/.{0,1000}\.jpg\|sh.{0,1000}","greyware_tool_keyword","wget","potential malicious command with wget (|sh)","T1566","TA0005 - TA0002","N/A","N/A","Defense Evasion","https://x.com/CraigHRowland/status/1782938242108837896","1","0","N/A","risk of false positive","9","10","N/A","N/A","N/A","N/A"
